date,Carapungo_RS
2007-05,212.34053763440863
2007-06,193.290625
2007-07,237.26094086021507
2007-08,226.7078629032258
2007-09,218.77477777777779
2007-10,221.34698924731183
2007-11,216.2422777777778
2007-12,196.65060483870965
2008-01,204.1140322580645
2008-02,188.1194827586207
2008-03,181.59504032258064
2008-04,194.89490277777776
2008-05,187.34360215053766
2008-06,218.41213888888888
2008-07,194.1556317204301
2008-08,200.0722177419355
2008-09,222.71180555555554
2008-10,211.26432795698926
2008-11,211.32552777777778
2008-12,216.63094086021508
2009-01,190.00427419354838
2009-02,200.7124255952381
2009-03,220.722123655914
2009-04,211.29477777777777
2009-05,214.34393817204304
2009-06,191.96326388888886
2009-07,210.27948924731183
2009-08,223.70041666666668
2009-09,247.32565277777778
2009-10,218.53880376344085
2009-11,237.3407638888889
2009-12,227.13912634408604
2010-01,235.11395161290324
2010-02,214.98041666666666
2010-03,214.61270161290324
2010-04,196.74370833333333
2010-05,202.94254032258064
2010-06,185.2967638888889
2010-07,203.26119623655913
2010-08,212.18116935483872
2010-09,221.75761111111112
2010-10,234.3121370967742
2010-11,183.02681944444444
2010-12,186.0844623655914
2011-01,227.7579166666667
2011-02,196.60918154761904
2011-03,202.24423387096772
2011-04,179.35465277777777
2011-05,215.45173387096773
2011-06,192.41641666666666
2011-07,198.15798387096774
2011-08,233.5265053763441
2011-09,210.9059861111111
2011-10,219.54383064516128
2011-11,225.17954166666667
2011-12,219.76720430107525
2012-01,238.11065860215052
2012-02,214.29807471264365
2012-03,224.7858198924731
2012-04,201.63209722222226
2012-05,212.40638440860215
2012-06,231.84252777777778
2012-07,241.18309139784947
2012-08,243.94052419354838
2012-09,280.2558472222222
2012-10,230.71573924731183
2012-11,227.06679166666666
2012-12,241.41969086021504
2013-01,324.6216532258065
2013-02,171.26763392857143
2013-03,217.8027553763441
2013-04,216.39465277777776
2013-05,190.52245967741933
2013-06,225.12218055555556
2013-07,222.96469086021506
2013-08,238.88768817204303
2013-09,232.88629166666666
2013-10,230.3255241935484
2013-11,248.06715277777778
2013-12,243.79869623655915
2014-01,233.12154569892473
2014-02,236.52708333333334
2014-03,175.9226747311828
2014-04,225.73743055555556
2014-05,207.8848252688172
2014-06,216.31298611111112
2014-07,234.25799731182798
2014-08,232.56502688172043
2014-09,241.6580416666667
2014-10,239.05509408602148
2014-11,241.42175
2014-12,233.10944892473117
2015-01,215.8870295698925
2015-02,248.1287648809524
2015-03,212.21896505376344
2015-04,227.0426111111111
2015-05,214.78743279569892
2015-06,226.96091666666663
2015-07,218.74869623655914
2015-08,242.36255376344084
2015-09,235.42969444444446
2015-10,229.21891129032258
2015-11,215.58113888888892
2015-12,237.68309139784947
2016-01,248.6090188172043
2016-02,261.2614655172414
2016-03,207.2365994623656
2016-04,217.82529166666666
2016-05,230.11478494623654
2016-06,209.22261111111112
2016-07,219.10092741935483
2016-08,278.9092741935484
2016-09,217.63230555555558
2016-10,245.6726747311828
2016-11,256.43027777777775
2016-12,229.50598118279572
2017-01,211.23102150537636
2017-02,191.5051339285714
2017-03,182.7447177419355
2017-04,219.66044444444444
2017-05,199.93645161290323
2017-06,210.05868055555555
2017-07,239.46131720430108
2017-08,222.1269758064516
2017-09,242.9366111111111
2017-10,232.48376344086023
2017-11,237.2948611111111
2017-12,228.965376344086
2018-01,212.8271505376344
2018-02,249.09590773809526
2018-03,229.98267473118278
2018-04,206.13322222222223
2018-05,193.16942204301074
2018-06,214.68579166666666
2018-07,227.88461021505375
2018-08,249.1006317204301
2018-09,376.63368055555554
2018-10,247.84399193548387
2018-11,209.72181944444444
2018-12,228.99193548387098
2019-01,234.00807795698927
2019-02,227.63436011904764
2019-03,235.71447580645162
2019-04,205.55238888888888
2019-05,196.5087634408602
2019-06,214.80205555555557
2019-07,215.3957930107527
2019-08,268.13432795698924
2019-09,242.18320833333334
2019-10,211.6393951612903
2019-11,221.64680555555557
2019-12,228.96170698924732
2020-01,232.68379032258062
2020-02,229.34107758620692
2020-03,242.7702553763441
2020-04,221.83909722222222
2020-05,202.7560887096774
2020-06,220.9308888888889
2020-07,202.9005376344086
2020-08,257.91580645161287
2020-09,239.4205
2020-10,250.6173252688172
2020-11,236.0951388888889
2020-12,214.87551075268817
2021-01,217.7138575268817
2021-02,227.88907738095236
2021-03,187.96872311827957
2021-04,210.99197222222222
2021-05,225.9542741935484
2021-06,206.9037222222222
2021-07,222.5661290322581
2021-08,224.97471774193548
2021-09,233.3492777777778
2021-10,234.32702956989246
2021-11,222.59352777777778
2021-12,221.1990994623656
2022-01,246.53568548387096
